,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
729,HSIL,EQ,121.0,122.45,117.15,120.3,120.45,119.95,267988,32327424.0,04-JAN-2021,4959,INE415A01038
730,HTMEDIA,EQ,16.85,17.05,16.45,16.9,16.95,16.75,243098,4097163.6,04-JAN-2021,816,INE501G01024
731,HUBTOWN,EQ,18.2,18.2,18.2,18.2,18.2,17.35,22508,409645.6,04-JAN-2021,67,INE703H01016
732,HUDCO,EQ,41.3,42.0,40.35,41.05,40.9,41.1,2533244,104429132.85,04-JAN-2021,7480,INE031A01017
741,HUHTAMAKI,EQ,317.0,325.0,312.5,318.95,318.1,311.45,359552,115300846.0,04-JAN-2021,6532,INE275B01026
742,IBMFNIFTY,EQ,143.28,143.28,138.15,140.0,140.0,139.11,1439,203053.96,04-JAN-2021,78,INF666M01FS5
743,IBREALEST,EQ,81.05,81.8,79.0,80.9,80.65,80.65,5625709,453968815.0,04-JAN-2021,19040,INE069I01010
745,IBULHSGFIN,EQ,223.75,225.9,216.5,220.8,220.3,221.75,17111802,3786925067.0,04-JAN-2021,97851,INE148I01020
748,ICEMAKE,EQ,104.9,104.9,98.55,101.4,102.9,101.7,40472,4101140.9,04-JAN-2021,1003,INE520Y01019
749,ICICI500,EQ,198.8,198.8,189.0,190.83,190.96,189.74,6531,1238783.73,04-JAN-2021,179,INF109KC1CZ3
750,ICICIALPLV,EQ,158.0,158.0,139.0,140.47,140.48,138.98,7657,1069664.37,04-JAN-2021,119,INF109KC1N59
751,ICICIB22,EQ,32.75,32.75,32.03,32.54,32.59,32.05,1497999,48664970.64,04-JAN-2021,6743,INF109KB15Y7
752,ICICIBANK,EQ,532.3,535.0,524.3,531.7,531.7,527.5,16549750,8772513233.75,04-JAN-2021,179521,INE090A01021
753,ICICIBANKN,EQ,324.7,324.7,307.95,310.22,310.6,310.28,8811,2736339.8,04-JAN-2021,500,INF109KC1E27
754,ICICIBANKP,EQ,174.98,174.98,168.06,169.3,169.6,169.94,12704,2152340.73,04-JAN-2021,210,INF109KC1E35
755,ICICIGI,EQ,1529.0,1554.9,1524.0,1549.45,1546.5,1519.2,586835,903132408.45,04-JAN-2021,26867,INE765G01017
756,ICICIGOLD,EQ,47.4,47.4,44.55,45.46,45.44,44.76,474260,21613065.4,04-JAN-2021,1565,INF109KC1NT3
757,ICICILIQ,EQ,999.95,1000.0,999.45,999.99,1000.0,999.99,12201,12200995.62,04-JAN-2021,48,INF109KC1KT9
758,ICICILOVOL,EQ,115.97,119.7,111.2,115.06,115.36,114.19,110148,12614426.46,04-JAN-2021,695,INF109KB10T8
759,ICICIM150,EQ,85.7,85.7,78.5,81.32,81.47,80.27,34135,2772632.56,04-JAN-2021,199,INF109KC1G82
760,ICICIMCAP,EQ,84.7,84.7,78.0,78.4,78.26,79.02,15293,1209806.72,04-JAN-2021,268,INF109KB1XT3
761,ICICINF100,EQ,165.4,165.4,151.0,153.57,153.57,151.77,3815,584715.57,04-JAN-2021,309,INF109KA1962
762,ICICINIFTY,EQ,158.0,158.0,148.31,150.1,150.25,149.02,89346,13371374.2,04-JAN-2021,6214,INF109K012R6
763,ICICINV20,EQ,72.0,75.7,71.0,73.37,73.25,71.84,12950,942585.45,04-JAN-2021,722,INF109KB1WY5
764,ICICINXT50,EQ,34.0,34.0,32.52,33.65,33.67,33.2,44662,1495496.85,04-JAN-2021,463,INF109KC1NS5
765,ICICIPRULI,EQ,500.2,505.95,494.5,503.9,505.5,498.7,2045373,1023817335.2,04-JAN-2021,26058,INE726G01019
766,ICICISENSX,EQ,514.95,533.0,509.95,518.47,520.15,517.27,1989,1026905.63,04-JAN-2021,172,INF346A01034
767,ICICITECH,EQ,253.89,260.0,246.55,253.11,253.59,246.5,222025,55351888.57,04-JAN-2021,433,INF109KC1N67
768,ICIL,EQ,148.0,153.15,146.7,153.15,153.15,145.9,384150,58514781.85,04-JAN-2021,1627,INE483B01026
769,ICRA,EQ,2902.0,2950.0,2902.0,2945.8,2935.0,2929.95,2923,8589372.15,04-JAN-2021,316,INE725G01011
770,IDBI,EQ,32.8,32.85,31.8,31.95,32.0,32.3,13911775,447922845.7,04-JAN-2021,39673,INE008A01015
771,IDBIGOLD,EQ,4606.0,4670.0,4592.0,4666.2,4665.0,4592.65,620,2872875.4,04-JAN-2021,89,INF397L01554
772,IDEA,EQ,11.8,12.15,11.45,11.9,11.85,11.2,649973524,7680056785.1,04-JAN-2021,279662,INE669E01016
773,IDFC,EQ,38.5,38.95,36.6,36.9,37.05,37.95,15023736,562098542.25,04-JAN-2021,32149,INE043D01016
774,IDFCFIRSTB,EQ,37.95,39.15,37.7,38.6,38.6,37.4,48722834,1876970659.6,04-JAN-2021,91863,INE092T01019
782,IDFNIFTYET,EQ,146.59,147.3,145.55,146.53,146.53,145.96,317,46475.84,04-JAN-2021,17,INF194KA1U07
783,IEX,EQ,221.75,230.1,218.25,228.9,230.1,220.2,1842823,412848566.0,04-JAN-2021,59003,INE022Q01020
784,IFBAGRO,EQ,488.0,488.0,465.9,473.9,473.5,479.65,23612,11273734.95,04-JAN-2021,1496,INE076C01018
785,IFBIND,EQ,1210.75,1235.0,1188.0,1207.2,1210.0,1188.15,85850,104141629.25,04-JAN-2021,6136,INE559A01017
786,IFCI,EQ,9.5,9.65,9.35,9.45,9.45,9.4,3576639,33922669.1,04-JAN-2021,57727,INE039A01010
791,IFGLEXPOR,EQ,286.0,294.0,268.0,269.7,270.0,276.65,96441,26709065.45,04-JAN-2021,2009,INE133Y01011
792,IGARASHI,EQ,338.0,345.95,335.95,337.45,338.65,338.0,60832,20698648.15,04-JAN-2021,1792,INE188B01013
